longitude	latitude	flightaltitude	timediff, dayfrac	timediff, hh:mm:ss	day=0/night=1
-138.04	29.2	10972.8	-0.104976851958781	-02:31:10	0
-141.24	29.64	11887.2	-0.104976851958781	-02:31:10	0
-156.6	22.88	11582.4	-0.104849537368864	-02:30:59	0
-156.02	20.9	10668	-0.10476851882413	-02:30:52	0
-120.72	33.89	9448.8	-0.104768518358469	-02:30:52	0
-144.25	28.75	11277.6	-0.104606481734663	-02:30:38	1
-155.38	24.63	10972.8	-0.104594907257706	-02:30:37	0
-147.83	25.26	11277.6	-0.104594907257706	-02:30:37	0
-156.43	22.4	10363.2	-0.104513889178634	-02:30:30	0
-156.55	22.63	11155.68	-0.104467592667788	-02:30:26	0
-139.43	28.7	12192	-0.104409722611308	-02:30:21	0
-139.43	28.7	11582.4	-0.10424768505618	-02:30:07	0
-155.2	21.7	10363.2	-0.104189814534038	-02:30:02	1
-126.47	37.56	11582.4	-0.10415509250015	-02:29:59	0
-155.02	22.77	9753.6	-0.103993055410683	-02:29:45	1
-141.78	25.69	11887.2	-0.103969907388091	-02:29:43	0
-156.23	21.82	10789.92	-0.103946759365499	-02:29:41	0
-140.4	26.21	10058.4	-0.103854166343808	-02:29:33	0
-156.8	21.72	7498.08	-0.103668981231749	-02:29:17	1
-154.87	22.27	10668	-0.103634259197861	-02:29:14	0
-153.22	28.31	11582.4	-0.103622685186565	-02:29:13	0
-153.93	24.49	10972.8	-0.10357638867572	-02:29:09	0
-129.44	31.86	10363.2	-0.103541666641831	-02:29:06	0
-136.07	38.82	11277.6	-0.103414352051914	-02:28:55	0
-139.61	28.64	10972.8	-0.10333333350718	-02:28:48	1
-120.74	33.7	10972.8	-0.103240740485489	-02:28:40	0
-156.58	22.32	11399.52	-0.103194444440305	-02:28:36	1
-153.42	22.73	10972.8	-0.103101851884276	-02:28:28	0
-124.53	45.54	10363.2	-0.103078703861684	-02:28:26	0
-153.1	21.27	10363.2	-0.103043981362134	-02:28:23	0
-143.61	27.08	10972.8	-0.103043981362134	-02:28:23	0
-156.5	22.88	8625.84	-0.103020833339542	-02:28:21	1
-155	22.78	10363.2	-0.102986110839993	-02:28:18	1
-156.8	23.98	10363.2	-0.102905092760921	-02:28:11	0
-125.68	44.41	10363.2	-0.102789351716638	-02:28:01	0
-156.33	21.8	10058.4	-0.102789351716638	-02:28:01	0
-141.24	29.63	10058.4	-0.10275462968275	-02:27:58	0
-153.48	22.68	10972.8	-0.102627314627171	-02:27:47	1
-156.72	21.67	6004.56	-0.102581018581986	-02:27:43	1
-154.95	22.9	9448.8	-0.10256944457069	-02:27:42	1
-151.36	24.96	11277.6	-0.102511574048549	-02:27:37	1
-156.67	22.23	10759.44	-0.102500000037253	-02:27:36	1
-150.67	23.95	10668	-0.102500000037253	-02:27:36	0
-156.68	21.82	7315.2	-0.102476851549	-02:27:34	1
-154.68	23.95	11582.4	-0.102453703526407	-02:27:32	1
-156.43	22.98	8961.12	-0.10232638893649	-02:27:21	1
-141.84	37.43	10972.8	-0.10232638893649	-02:27:21	0
-140.91	29.76	10363.2	-0.102291666902602	-02:27:18	1
-151.88	22.35	10972.8	-0.10229166643694	-02:27:18	1
-136.52	29.72	11277.6	-0.102280092891306	-02:27:17	0
-124.31	45.4	10058.4	-0.102222222369164	-02:27:12	0
-120.39	32.52	9144	-0.102222221903503	-02:27:12	0
-155.18	23.62	8839.2	-0.102141203824431	-02:27:05	0
-149.1	30.04	10363.2	-0.102118055336177	-02:27:03	0
-140.7	30.4	11277.6	-0.102094907313585	-02:27:01	1
-138.08	29.19	11582.4	-0.102071759290993	-02:26:59	0
-155.42	24.62	11582.4	-0.102013888768852	-02:26:54	0
-124.77	46.48	10149.84	-0.101979166734964	-02:26:51	0
-156.4	22.42	10088.88	-0.101944444235414	-02:26:48	0
-156.57	23.17	11582.4	-0.10165509255603	-02:26:23	0
-149.08	30.05	10363.2	-0.101643518544734	-02:26:22	0
-156.52	22.83	8503.92	-0.101516203489155	-02:26:11	1
-151.35	24.97	10668	-0.101493055932224	-02:26:09	1
-151.34	24.97	11277.6	-0.101493055932224	-02:26:09	1
-156.77	21.73	7406.64	-0.101388888899237	-02:26:00	1
-153.35	22.63	11277.6	-0.101157407741994	-02:25:40	0
-136.52	28.74	10363.2	-0.10113425925374	-02:25:38	1
-152.49	25.36	11277.6	-0.101064814720303	-02:25:32	0
-129.12	35.8	10058.4	-0.101053240709007	-02:25:31	0
-129.98	28.01	10972.8	-0.100879629608244	-02:25:16	0
-143.27	26.22	11277.6	-0.100856481585652	-02:25:14	1
-133.76	30.61	10668	-0.10085648111999	-02:25:14	0
-139.43	28.7	12192	-0.100833333097398	-02:25:12	0
-154.92	22.83	10972.8	-0.100821759086102	-02:25:11	1
-156.45	22.93	8778.24	-0.100821759086102	-02:25:11	1
-129.12	35.8	10058.4	-0.10079861106351	-02:25:09	0
-119.22	33.88	6248.4	-0.100752315018326	-02:25:05	0
-156.3	21.88	9631.68	-0.100740740541369	-02:25:04	0
-150.57	24	12192	-0.100729166530073	-02:25:03	0
-155.03	22.77	10668	-0.100671296473593	-02:24:58	1
-156.75	23.73	11582.4	-0.100648148451	-02:24:56	0
-155.02	22.2	10972.8	-0.10055555542931	-02:24:48	1
-143.96	33.9	10058.4	-0.100497684907168	-02:24:43	0
-156.83	21.7	6797.04	-0.100451388861984	-02:24:39	1
-144.32	29.75	10972.8	-0.100439814850688	-02:24:38	0
-157.88	22.07	6522.72	-0.100381944328547	-02:24:33	0
-156.48	22.7	11582.4	-0.100300925783813	-02:24:26	0
-155.79	25.83	11277.6	-0.100254629272968	-02:24:22	1
-155.4	24.62	10972.8	-0.100219907239079	-02:24:19	0
-156.43	22.38	10363.2	-0.100208333693445	-02:24:18	0
-156.87	21.22	6614.16	-0.10003472212702	-02:24:03	1
-147.72	26.97	9753.6	-0.0999652775935829	-02:23:57	1
-149.61	25.95	11887.2	-0.0997916669584811	-02:23:42	1
-153.43	22.65	10972.8	-0.0997800924815238	-02:23:41	0
-156.72	21.78	7193.28	-0.0997569444589317	-02:23:39	1
-155.33	21.43	9448.8	-0.0997453704476357	-02:23:38	1
-122.22	33.55	11887.2	-0.0997222219593823	-02:23:36	0
-126.03	45.85	10363.2	-0.0997222219593823	-02:23:36	0
-143.35	26.19	8839.2	-0.0996874999254942	-02:23:33	1
-143.17	25.15	10058.4	-0.0996759259141982	-02:23:32	0
-156.38	22.43	10363.2	-0.0996759259141982	-02:23:32	0
-156.7	21.68	8503.92	-0.0996643519029021	-02:23:31	1
-144.05	28.55	10058.4	-0.0996412034146488	-02:23:29	0
-128.01	32.23	11582.4	-0.0996296294033527	-02:23:28	0
-154.92	22.82	10668	-0.0996064813807607	-02:23:26	1
-138.6	31.32	10668	-0.0995486113242805	-02:23:21	0
-144.25	28.73	11582.4	-0.0995254633016884	-02:23:19	1
-153.4	22.68	9753.6	-0.0994212967343628	-02:23:10	0
-151.43	24.92	10363.2	-0.0993865742348135	-02:23:07	1
-155	22.87	8839.2	-0.0993634257465601	-02:23:05	1
-153.47	22.65	11582.4	-0.0993634257465601	-02:23:05	1
-156.53	22.58	9662.16	-0.0993634257465601	-02:23:05	0
-128.04	32.22	10972.8	-0.0992476851679385	-02:22:55	0
-122.13	33.54	9144	-0.0991666666232049	-02:22:48	0
-150.19	22.15	10972.8	-0.0991666666232049	-02:22:48	0
-153.85	24.55	11582.4	-0.0990162035450339	-02:22:35	0
-156.73	23.82	10972.8	-0.0989814815111458	-02:22:32	0
-123.38	37.47	6065.52	-0.0989699070341885	-02:22:31	0
-155.2	21.65	10728.96	-0.0988541664555669	-02:22:21	1
-156.78	23.8	10972.8	-0.0987847223877907	-02:22:15	0
-153.4	22.73	10363.2	-0.0987152778543532	-02:22:09	0
-156.55	22.93	10972.8	-0.0986689813435078	-02:22:05	0
-140.35	26.23	12496.8	-0.0985879632644355	-02:21:58	0
-149.08	30.05	10972.8	-0.0984722222201526	-02:21:48	0
-156.53	22.97	11582.4	-0.0983449071645737	-02:21:37	0
-120.25	31.95	9723.12	-0.0982870371080935	-02:21:32	0
-124.52	30.92	10972.8	-0.0982523146085441	-02:21:29	0
-153.4	22.73	11277.6	-0.0982523146085441	-02:21:29	0
-156.38	22.43	11582.4	-0.0982407405972481	-02:21:28	0
-156.27	21.8	11033.76	-0.098229166585952	-02:21:27	0
-151.77	23.42	10972.8	-0.0981365740299225	-02:21:19	1
-120.25	31.96	9144	-0.0981250000186265	-02:21:18	0
-156.82	23.68	10972.8	-0.0980902779847384	-02:21:15	0
-156.98	20.77	6918.96	-0.098078703507781	-02:21:14	1
-122.29	33.92	9753.6	-0.098078703507781	-02:21:14	0
-139.98	27.5	10668	-0.0980324074625969	-02:21:10	1
-154.85	22.25	11277.6	-0.0979513889178634	-02:21:03	0
