lon	lat	alt
-135.21336	30.15248	11887.2
-135.21336	30.15248	10363.2
-135.21336	30.15248	10363.2
-134.70047	28.163647	10363.2
-145.08781	26.461222	10972.8
-122.21761	33.538887	10668
-145.08781	26.461332	10668
-122.214066	33.5259	11582.4
-145.08783	26.46128	12192
-145.08762	26.46051	9753.6
-132.35431	31.035624	10668
-154.88829	22.275085	10972.8
-132.35432	31.03562	11582.4
-154.88608	22.26574	11582.4
-132.35431	31.035624	10058.4
-154.87985	22.239407	10058.4
-119.229225	33.911392	5425.44
-142.28484	27.61458	10668
-119.202385	33.814903	5120.64
-142.2846	27.61363	10058.4
-142.28494	27.61501	
-134.55367	30.364328	9144
-129.47762	31.841805	10363.2
-152.02907	23.253847	10363.2
-128.9459	29.831654	10363.2
-151.60725	21.474157	10363.2
-129.47743	31.841099	10363.2
-152.03062	23.260263	10363.2
-146.51541	25.851198	9144
-139.4654	28.688274	10058.4
-139.46552	28.688763	9448.8
-138.97046	26.730167	8534.4
-131.1966	31.367357	9144
-149.28113	24.681973	10363.2
-125.80644	29.650799	8839.2
-148.55779	21.658165	10668
-136.62958	29.682812	10972.8
-136.62958	29.682812	9753.6
-136.62958	29.682812	11277.6
-136.62958	29.682812	9448.8
-136.6296	29.682806	11277.6
-146.47832	25.86443	11277.6
-123.67562	33.249825	9448.8
-146.47864	25.86579	9448.8
-123.67644	33.252834	10668
-133.00636	27.610388	10972.8
-156.0637	20.7333	9570.72
-133.77892	30.607126	11277.6
-156.31267	21.795868	10210.8
-133.77892	30.607126	10972.8
-142.55434	22.425055	10363.2
-142.89314	23.842743	10972.8
-120.3841	32.52114	9144
-143.20662	25.13384	9144
-130.38092	29.43691	10972.8
-153.1048	21.304104	10972.8
-130.38235	29.442343	9144
-153.10094	21.287514	7924.8
-130.38072	29.43615	9448.8
-140.86943	28.166103	11582.4
-140.0738	24.970467	9448.8
-140.38095	26.218517	9753.6
-150.20827	22.138248	11582.4
-127.489006	30.208206	11277.6
-150.20222	22.112934	11277.6
-128.02563	32.22449	8839.2
-150.6326	23.915483	11887.2
-138.0402	29.196445	10972.8
-137.5391	27.226854	10668
-138.0402	29.196445	9753.6
-147.85913	25.234072	11582.4
-125.12352	32.92675	11582.4
-147.86603	25.262146	11582.4
-134.43425	27.18476	10972.8
-134.42339	27.141487	9448.8
-145.06953	26.46938	9753.6
-145.06914	26.467827	10972.8
-144.01773	22.127687	10363.2
-145.06934	26.468607	11582.4
-121.61805	31.406385	10058.4
-144.29167	23.278292	10058.4
-137.91531	29.240204	10363.2
-131.8116	29.041159	9144
-154.59486	21.122318	9144
-141.78194	25.690493	10972.8
-141.78181	25.689978	10363.2
-141.78151	25.688715	10972.8
-141.46968	24.412128	12192
-119.11118	33.56986	7498.08
-141.46902	24.409447	10058.4
-130.43509	35.380352	10363.2
-152.50168	25.30822	11582.4
-152.01825	23.312662	10668
-146.48546	25.862663	10972.8
-139.44142	28.696953	11582.4
-139.44142	28.696953	11582.4
-148.49483	21.508886	10972.8
-125.78176	29.662298	9144
-148.50688	21.559784	7924.8
-125.97359	30.396255	9753.6
-136.59285	29.653954	10363.2
-136.60275	29.691887	10363.2
-136.60275	29.691887	10058.4
-136.60275	29.691887	10972.8
-136.60275	29.691887	9753.6
-123.64697	33.25421	11094.72
-146.45084	25.876173	11582.4
-123.64881	33.260895	10668
-146.22995	24.974836	11582.4
-133.75	30.616058	10972.8
-133.75	30.616058	11277.6
-156.28262	21.802853	11155.68
-133.23161	28.620516	10363.2
-143.65051	27.061584	10972.8
-143.65051	27.061615	11582.4
-143.65013	27.060093	10972.8
-130.35052	29.451403	10363.2
-153.05669	21.246664	10363.2
-130.35046	29.451162	10668
-153.05392	21.23508	10058.4
-130.35052	29.451359	9753.6
-139.58623	23.099463	10972.8
-140.83685	28.17857	10058.4
-127.98947	32.227825	10363.2
-150.6094	23.976278	10972.8
-127.98962	32.22837	8839.2
-150.58786	23.886114	10058.4
-127.9893	32.227222	10363.2
-147.81827	25.232784	12192
-125.08569	32.935966	8839.2
-147.82101	25.24392	10058.4
-135.15767	30.17054	10972.8
-135.15765	30.170546	9448.8
-126.147766	32.669884	9144
-145.02959	26.48463	9753.6
-144.24509	23.26741	11582.4
-122.17837	33.625427	8839.2
-145.02975	26.485352	10972.8
-131.14374	26.58041	10363.2
-154.46243	20.75	10972.8
-132.29277	31.053585	10363.2
-154.8269	22.300312	6400.8
-132.29277	31.053585	7315.2
-142.22179	27.640436	9753.6
-142.22162	27.639742	8839.2
-143.84657	33.78533	11582.4
-119.14166	33.8454	6888.48
-142.22171	27.639996	8839.2
-129.4119	31.865562	10363.2
-151.97086	23.314316	10363.2
-129.40941	31.85643	9448.8
-151.97716	23.340744	9448.8
-129.41017	31.859203	9144
-151.9657	23.29267	10363.2
-129.44737	31.997091	9753.6
-140.18362	31.715689	12192
-139.39668	28.713135	9144
-149.1846	24.606089	11277.6
-149.13417	24.404196	11582.4
-126.51297	32.599167	11582.4
-149.18382	24.60292	12192
-136.56073	29.70609	10972.8
-136.56111	29.707565	9753.6
-136.56073	29.70609	10668
-146.41467	25.89226	10972.8
-123.55961	33.08177	10972.8
-146.41454	25.891663	10972.8
-139.5541	28.656088	9753.6
-132.32263	25.123138	10363.2
-156.00488	20.7667	10972.8
-133.7182	30.625872	9144
-156.25287	21.82261	8534.4
-133.1997	28.630203	9144
-144.31154	29.765043	10668
-120.6488	33.709034	10058.4
-143.62422	27.073177	10058.4
-143.62346	27.070072	9144
-130.85565	31.463383	10363.2
-153.38597	22.743635	10363.2
-130.85551	31.462914	10972.8
-153.37326	22.69046	8534.4
-130.85545	31.46268	10668
-140.94376	28.670816	10668
-140.81956	28.185238	10363.2
-140.81953	28.185127	10668
-150.62863	24.111862	10668
-127.97684	32.23152	10668
-150.59445	23.970436	10668
-127.97654	32.230427	10363.2
-137.99692	29.211628	11277.6
-137.99692	29.211628	10972.8
-137.99692	29.211628	10058.4
-129.4601	31.844559	8534.4
-147.82735	25.28371	11887.2
-125.08185	32.933125	9448.8
-147.81642	25.23906	10363.2
-136.11327	33.709385	10972.8
-135.15938	30.169987	10668
-126.76057	30.38868	9753.6
-145.03632	26.482975	10972.8
-132.30376	31.050383	10363.2
-154.82892	22.258795	10058.4
-132.30376	31.050383	8839.2
-132.30376	31.050383	9144
-154.81877	22.216228	7315.2
-132.9284	33.359123	9753.6
-142.23697	27.634325	11582.4
-142.23683	27.633797	10363.2
-133.56895	33.798603	9753.6
-151.98128	23.2651	10972.8
-151.56442	21.508339	10972.8
-138.92648	26.745853	10972.8
-138.92648	26.745855	11582.4
-138.92648	26.745869	10363.2
-131.13948	31.383245	9753.6
-149.23726	24.689241	12192
-126.535416	32.56376	10363.2
-149.22864	24.653414	10363.2
-125.99834	30.557264	10363.2
-144.4701	21.290443	10363.2
-136.57979	29.65754	11582.4
-136.58957	29.695189	10668
-136.0782	27.699333	10363.2
-136.08229	27.71577	9753.6
-145.67862	22.73518	9753.6
-123.084625	31.215292	9753.6
-145.98236	24.002434	11887.2
-133.74298	30.618225	9753.6
-156.27892	21.82083	9753.6
-133.74298	30.618225	9144
-156.27687	21.812082	9144
-133.74258	30.616673	11887.2
-156.2762	21.809202	10515.6
-133.74298	30.618225	11887.2
-156.27858	21.819416	10789.92
-133.73776	30.598146	9753.6
-156.27824	21.817976	9753.6
-133.74477	30.625034	9753.6
-120.47518	32.98943	9448.8
-143.17216	25.14853	9448.8
-120.61979	33.515034	10058.4
-143.6486	27.071701	10058.4
-153.83958	24.536856	11582.4
-153.4055	22.731678	8534.4
-131.86942	35.05745	10058.4
-141.58391	31.047422	11582.4
-140.83821	28.178019	11277.6
-140.83818	28.177904	10668
-151.13747	26.118952	12192
-127.993576	32.22556	10972.8
-150.61044	23.962776	11582.4
-129.03304	35.940434	10668
-138.81683	32.253563	10972.8
-138.01126	29.206217	11277.6
-138.82054	32.267254	10363.2
-138.75668	32.031086	10363.2
-129.4831	31.807472	9753.6
-148.4305	27.653202	9753.6
-125.09459	32.929207	10972.8
-147.83585	25.262453	11887.2
-135.73203	32.27636	10363.2
-136.01543	33.313034	10363.2
-135.8085	32.5577	10363.2
-136.05165	33.443977	10363.2
-135.89497	32.87459	10363.2
-145.04527	26.479235	9753.6
-145.04509	26.478624	9753.6
-133.71715	36.112774	10363.2
-132.8142	32.910423	10058.4
-133.11859	34.012016	10363.2
-141.7546	25.67175	11277.6
-142.0791	26.978317	10972.8
-142.24333	27.63145	10972.8
-134.5131	30.316702	10058.4
-134.49574	30.382708	9753.6
-139.55125	29.235035	10972.8
-139.28424	28.192099	10972.8
-139.41531	28.706028	10058.4
-139.41539	28.70637	9753.6
-139.41539	28.70637	9448.8
-149.21217	24.603035	10363.2
-149.20882	24.589056	9144
-136.58426	29.69698	9753.6
-136.575	29.661112	11277.6
-136.57469	29.659933	10668
-146.43822	25.883831	9753.6
-146.43787	25.882431	10363.2
-123.1115	31.339241	10363.2
-145.97913	23.999083	10972.8
-123.07965	31.219883	9753.6
-145.9725	23.971926	10972.8
-133.73842	30.617962	10363.2
-156.27855	21.822807	10363.2
-133.73842	30.617962	10363.2
-133.78937	30.812061	9753.6
-143.64622	27.072594	10668
-143.64412	27.064308	9144
-120.78381	34.12482	9753.6
-144.34901	29.828856	9753.6
